draw_date,draw_number,n1,n2,n3,n4,n5,mega
2015-01-31,2904,3,19,20,32,36,11
2015-02-04,2905,1,2,12,19,45,8
2015-02-07,2906,6,20,23,24,29,25
2015-02-11,2907,10,26,38,43,46,24
2015-02-14,2908,8,9,18,22,31,27
2015-02-18,2909,24,28,29,32,44,2
2015-02-21,2910,13,18,21,31,38,21
2015-02-25,2911,11,29,35,36,39,10
2015-02-28,2912,18,33,34,36,45,17
2015-03-04,2913,15,23,32,36,39,20
2015-03-07,2914,15,19,22,43,46,7
2015-03-11,2915,7,28,32,44,47,4
2015-03-14,2916,13,17,18,22,37,24
2015-03-18,2917,1,3,12,15,26,19
2015-03-21,2918,2,21,28,39,45,4
2015-03-25,2919,3,5,10,25,47,7
2015-03-28,2920,7,9,24,29,41,27
2015-04-01,2921,2,6,12,34,46,27
2015-04-04,2922,1,4,20,27,36,15
2015-04-08,2923,9,20,26,27,47,26
2015-04-11,2924,6,13,16,27,42,4
2015-04-15,2925,3,5,6,14,38,10
2015-04-18,2926,7,22,36,38,45,7
2015-04-22,2927,7,11,35,39,42,18
2015-04-25,2928,4,10,15,40,47,11
2015-04-29,2929,5,24,25,34,47,3
2015-05-02,2930,23,31,34,36,45,4
2015-05-06,2931,11,14,35,40,43,9
2015-05-09,2932,8,24,41,44,47,23
2015-05-13,2933,12,18,28,38,43,20
2015-05-16,2934,2,5,22,39,42,3
2015-05-20,2935,1,4,11,22,29,20
2015-05-23,2936,11,12,17,19,46,26
2015-05-27,2937,27,33,35,42,43,18
2015-05-30,2938,11,25,31,34,47,16
2015-06-03,2939,7,17,18,29,40,13
2015-06-06,2940,16,22,23,39,42,25
2015-06-10,2941,1,39,43,44,47,10
2015-06-13,2942,14,15,33,38,41,27
2015-06-17,2943,7,20,32,33,37,9
2015-06-20,2944,4,12,31,33,34,14
2015-06-24,2945,27,29,30,37,44,8
2015-06-27,2946,1,5,16,21,35,13
2015-07-01,2947,7,14,29,34,37,10
2015-07-04,2948,17,19,23,30,43,6
2015-07-08,2949,6,25,34,41,45,10
2015-07-11,2950,18,23,33,34,39,10
2015-07-15,2951,1,11,17,26,44,18
2015-07-18,2952,4,22,24,31,43,1
2015-07-22,2953,1,3,34,35,36,24
2015-07-25,2954,9,19,21,24,45,27
2015-07-29,2955,13,15,33,35,36,15
2015-08-01,2956,1,3,6,17,28,2
2015-08-05,2957,10,15,16,26,29,27
2015-08-08,2958,1,16,30,33,46,24
2015-08-12,2959,13,29,40,43,44,12
2015-08-15,2960,14,21,27,30,45,3
2015-08-19,2961,5,23,31,42,45,6
2015-08-22,2962,6,9,31,33,42,13
2015-08-26,2963,19,28,31,39,47,17
2015-08-29,2964,6,20,32,39,43,16
2015-09-02,2965,17,23,36,38,40,8
2015-09-05,2966,4,22,39,44,47,9
